SF Link,Account Name,Status,Combined Activation Status,BW Plan,Monthly Spend,EC Customer,Signal,Website,City,State,Zip,Phone,Customer Type,Active Students,Billing Active (L30D)
0013u00001lKuorAAC,CADC Amity Head Start/ABC,Active Premium Customer,SaaS Only Activated,Premium,"$3,881.25",No,Name,http://www.mtsu.edu/cdc/,Malvern,ARKANSAS,72104,870-342-5358,Multi-Site Child,12,
0013u00001lKuoNAAS,CADC Arkadelphia Head Start/ABC,Active Premium Customer,SaaS Only Activated,Premium,"$3,881.25",No,Name,,Arkadelphia,ARKANSAS,71923,870-246-8931,Multi-Site Child,50,
0013u00001TYQbzAAH,CADC Benton Head Start/ABC,Active Premium Customer,SaaS Only Activated,Premium,"$3,881.25",No,Name,,,ARKANSAS,,501-326-6280,Multi-Site Child,66,
0013u00001TYQbyAAH,CADC Bismarck Head Start/ABC,Active Premium Customer,SaaS Only Activated,Premium,"$3,881.25",No,Name,,Bismarck,ARKANSAS,71929,501-865-1882,Multi-Site Child,18,
0013u00001TYQQBAA5,CADC Delight Head Start/ABC,Active Premium Customer,SaaS Only Activated,Premium,"$3,881.25",No,Name,,Delight,ARKANSAS,71940,870-379-2270,Multi-Site Child,9,
0013u00001TYQbxAAH,CADC Glenwood Head Start/ABC,Active Premium Customer,Onboarding,Premium,"$3,881.25",No,Name,,,ARKANSAS,,8703564780,Multi-Site Child,21,
0013u00001TYQc2AAH,CADC Gurdon Head Start/ABC,Active Premium Customer,SaaS Only Activated,Premium,"$3,881.25",No,Name,http://www.cadc.com/,Gurdon,ARKANSAS,71743,870-353-6616,Multi-Site Child,17,
0013u00001TYQc0AAH,CADC Harmony Grove Head Start/ABC,Active Premium Customer,SaaS Only Activated,Premium,"$3,881.25",No,Name,,,ARKANSAS,,501-776-1697,Multi-Site Child,9,
0013u00001TYQc1AAH,CADC Magnet Cove Head Start/ABC,Active Premium Customer,SaaS Only Activated,Premium,"$3,881.25",No,Name,,Malvern,ARKANSAS,72104,501-229-1268,Multi-Site Child,12,
0013u00001TYQbwAAH,CADC Malvern Early Head Start,Active Premium Customer,SaaS Only Activated,Premium,"$3,881.25",No,Name,http://www.mtsu.edu/cdc/,Malvern,ARKANSAS,72104,5013371502,Multi-Site Child,42,
0013u00001TYQc3AAH,CADC Malvern Head Start/ABC,Active Premium Customer,SaaS Only Activated,Premium,"$3,881.25",No,Name,http://www.mtsu.edu/cdc/,Malvern,ARKANSAS,72104,501-337-1502,Multi-Site Child,46,
0013u00001TYQQEAA5,CADC Mount Ida Head Start/ABC,Active Premium Customer,SaaS Only Activated,Premium,"$3,881.25",No,Name,http://www.mtsu.edu/cdc/,Malvern,ARKANSAS,72104,870-867-3722,Multi-Site Child,15,
0013u00001TYQQDAA5,CADC Murfreesboro Head Start/ABC,Active Premium Customer,SaaS Only Activated,Premium,"$3,881.25",No,Name,,,ARKANSAS,,870-285-3351,Multi-Site Child,14,
0013u00001TYQQCAA5,CADC Shannon Hills Head Start/ABC,Active Premium Customer,SaaS Only Activated,Premium,"$3,881.25",No,"Name, Website",http://cadc.com/office/shannon-hills-head-start-center/,Alexander,ARKANSAS,72002,501-455-4932,Multi-Site Child,13,
0013u00001pLnWbAAK,Angoon Head Start,Active Premium Customer,SaaS Only Activated,Premium,"$1,375.00",No,Name,,Angoon,AK,99820,9077883109,Single-Site,,
0013u00001pLndNAAS,Craig Head Start,Active Premium Customer,SaaS Only Activated,Premium,"$1,375.00",No,Name,,Craig,ALASKA,99921,907-826-3775,Single-Site,,
0013u00001pLnuPAAS,Hoonah Head Start,Active Premium Customer,SaaS Only Activated,Premium,"$1,375.00",No,Name,,Hoonah,AK,99829,9079453255,Single-Site,,
0013u00001msCejAAE,Klawock Head Start,Active Premium Customer,Onboarding,Premium,"$1,375.00",No,Name,,,ALASKA,,,Single-Site,3,
0013u00001msCehAAE,Mendenhall River Head Start,Active Premium Customer,Onboarding,Premium,"$1,375.00",No,Name,,,ALASKA,,,Single-Site,,
0013u00001msChaAAE,Petersburg Head Start,Active Premium Customer,Onboarding,Premium,"$1,375.00",No,Name,,,ALASKA,,,Non-Target,,
0013u00001msCekAAE,Saxman Head Start,Active Premium Customer,SaaS Only Activated,Premium,"$1,375.00",No,Name,,,ALASKA,,,Single-Site,21,
0013u00001msChdAAE,Sitka Head Start,Active Premium Customer,Onboarding,Premium,"$1,375.00",No,Name,,,ALASKA,,,Non-Target,,
0013u00001msCeiAAE,Taashuka Head Start,Active Premium Customer,Onboarding,Premium,"$1,375.00",No,Name,,Angoon,ALASKA,99820,,Non-Target,,
0013u00001jEJaGAAW,Tlingit & Haida Head Start,Active Premium Customer,SaaS Only Activated,Premium,"$1,375.00",Yes,Name,http://www.ccthita.org/,Craig,Alaska,99921,8003441432,Government Payer,205,
0013u00001msChbAAE,Wrangell Head Start,Active Premium Customer,Onboarding,Premium,"$1,375.00",No,Name,,,ALASKA,,,Non-Target,,
0013u00001msChcAAE,Yakutat Head Start,Active Premium Customer,Onboarding,Premium,"$1,375.00",No,Name,,,ALASKA,,,Non-Target,,
001PB00000YanWUYAZ,Cleveland County School District Head Start Woodlawn Center,Active Premium Customer,SaaS Only Activated,Premium,$358.51,No,"Name, Website",https://ccsdheadstart.org/,Rison,Arkansas,71665,870-325-6342,Multi-Site Parent,81,
0013u00001jDPG5AAO,"Play, Learn, & Grow, Inc",Active Premium Customer,SaaS and Billing Activated,Premium,$282.50,No,Website,https://www.headstartprogram.us/,BAY CITY,Michigan,48706,(989) 324-0525,Multi-Site Parent,88,Yes
001PB00000a2cB7YAI,Community Action Headstart,Active Premium Customer,Onboarding,Premium,$249.00,No,Name,,Haverhill,Massachusetts,1830,9184798261,Single-Site,138,
0013u00001qmMiVAAU,Pittsburgh Public Early Head Start,Active Premium Customer,SaaS Only Activated,Premium,$243.00,No,Name,pghschools.org,Cranberry Township,Pennsylvania,16066,#ERROR!,Single-Site,89,
001Rd000007DQn8IAG,Saratoga Regional School Age,Active Premium Customer,SaaS Only Activated,Premium,$239.67,No,Website,http://lifeworksaction.org/headstart,Saratoga Springs,New York,12866,518-583-9622,,1349,
0013u00001XDSQJAA5,Omaha Tribe Head Start,Active Premium Customer,SaaS Only Activated,Premium,$229.59,No,Name,omaha-nsn.gov,Des Moines,Iowa,50309,14028374110,Single-Site,152,
0013u00001DwWuNAAV,M & E Daycare-79Th Street Day Care Head Start,Active Premium Customer,SaaS Only Activated,Premium,$160.00,Yes,Name,WWW.79THSTREETSENIORS.COM,Chicago,Illinois,60652-1832,#ERROR!,Single-Site,120,
001PB00000KWlwkYAD,Capic Head Start Center,Active Premium Customer,SaaS and Billing Activated,Premium,$149.50,No,Name,www.capicinc.org,Chelsea,Massachusetts,02150-2374,(617) 884-6130,Multi-Site Parent,53,Yes
001PB00000KzSDZYA3,Capic Head Start Center - Location 2,Active Premium Customer,SaaS and Billing Activated,Premium,$149.50,No,Name,,,,,,Multi-Site Child,82,Yes
0013u00001hvDgUAAU,Broad Street Kids,Active Premium Customer,SaaS and Billing Activated,Premium,$135.00,No,Website,https://jcheadstart.com/locations/,New Bethlehem,Other,16242,4124184883,Multi-Site Parent,49,Yes
0013u00001MYMGEAA5,"Mini Kampus childcare, preschool & early head start",Active Premium Customer,SaaS and Billing Activated,Premium,$135.00,No,Name,http://www.minikampusii.com/,St. Clair Shores,Michigan,48081,586-294-2497,Single-Site,61,Yes
0013u00001inAFuAAM,A Perfect Start Early Learning Childcare Center Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$120.00,No,Name,,Tampa,Florida,33605-1909,(813)241-2273,Single-Site,82,Yes
001PB00000M5j1SYAR,Keweenaw Bay Tribal Head Start,Active Premium Customer,SaaS Only Activated,Premium,$116.08,No,Name,,Lanse,Michigan,49946,9063957775,Single-Site,72,
0011I00001CoxHJQAZ,Ponca Tribal Early Childhood Center,Active Premium Customer,SaaS Only Activated,Premium,$108.00,No,Website,https://www.ponca-nsn.gov/updatesevents/ponca-tribe-head-start-now-accepting-applications-for-3-5-years-old,Ponca City,Oklahoma,74601,(580) 762-7927,Single-Site,46,
0011I00000yCTntQAG,Jenkins Institute Of Love Head Start,Active Premium Customer,SaaS Only Activated,Premium,$105.00,No,Name,,Chicago,Illinois,60619-6946,17737233938,Single-Site,36,
0013u00001E0HodAAF,Small World Christian Academy,Active Premium Customer,SaaS and Billing Activated,Premium,$99.00,No,Website,http://rccdc.org/Head-Start,Gretna,Louisiana,70053,15043615972,Single-Site,32,No
0013u00001rUEKIAA4,Parsons Early Head Start- Location 2,Active Premium Customer,SaaS and Billing Activated,Premium,$96.88,No,Name,,,,,,Multi-Site Child,72,Yes
001PB00000Iv9DyYAJ,Fort Fort Peck Tribes Head Start Program Poplar Center 2,Active Premium Customer,Onboarding,Premium,$94.33,No,Name,,,,,,Multi-Site Child,19,
001PB00000Iv9DzYAJ,Fort Peck Tribes Head Start Program Poplar Center,Active Premium Customer,Onboarding,Premium,$94.33,No,Name,,,,,,Multi-Site Child,22,
0013u00001bQGdMAAW,Fort Peck Tribes Head Start Program Wolf Point,Active Premium Customer,Onboarding,Premium,$94.33,No,Name,,Poplar,Montana,59255,14067682501,Multi-Site Parent,33,
0011I00000cSTUoQAO,LULAC- Future Leaders Center,Active Premium Customer,SaaS and Billing Activated,Premium,$92.50,No,Website,http://www.lulacheadstart.org/,New Haven,Connecticut,6513,12038365850,Multi-Site Child,108,Yes
0011I00000cSTVNQA4,LULAC-Fay Miller Center,Active Premium Customer,SaaS and Billing Activated,Premium,$92.50,No,Website,http://www.lulacheadstart.org/,New Haven,Connecticut,6513,12038365850,Non-Target,186,Yes
0013u00001OEoREAA1,Alabama Coushatta Head Start,Active Premium Customer,SaaS Only Activated,Premium,$90.00,Yes,Name,actribe.org,Livingston,Texas,77351,(936) 563-1300,Single-Site,60,
001Rd000007nNQrIAM,Fond du Lac Childcare,Active Premium Customer,SaaS and Billing Activated,Premium,$89.00,No,Website,https://www.lakesandpines.org/head-start,Cloquet,Minneapolis,55720,218-878-8100,Single-Site,24,Yes
001PB00000RQpDqYAL,Head start,Active Premium Customer,Onboarding,Premium,$83.79,No,Name,,,Ohio,,3305025799,,,
0013u00001SJhoUAAT,Catholic Youth Center Day Care,Active Premium Customer,SaaS and Billing Activated,Premium,$79.00,Yes,Website,https://www.facebook.com/luzernecountyheadstart/,Wilkes Barre,Pennsylvania,18701-3097,(570)823-6121,Single-Site,287,Yes
001PB00000VQ8rJYAT,Community Action Head Start at 26th Street,Active Premium Customer,SaaS Only Activated,Premium,$79.00,Yes,Name,,,,,,Multi-Site Child,73,
0013u000015wao8AAA,Community Action Head Start at Bansal,Active Premium Customer,SaaS and Billing Activated,Premium,$79.00,Yes,Name,communityactionatwork.org,Lincon,Nebraska,68508,402-910-4106,Multi-Site Parent,228,Yes
001PB00000VN4U5YAL,VOA Colorado Head Start,Active Premium Customer,SaaS Only Activated,Premium,$79.00,No,Name,voacolorado.org,Denver,Colorado,80219,(720) 644-8960,Single-Site,92,
0013u00001UcHEDAA3,Legacy Christian School Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$74.00,No,Name,https://www.legacychristianschool.org/admissions,Spartanburg,South Carolina,29306-3983,(864) 707-5651,Single-Site,42,Yes
0013u00001NODzLAAX,Akron United Methodist Church Head Start,Active Premium Customer,SaaS Only Activated,Premium,$72.08,Yes,"Name, Website",http://https://www.facebook.com/Akron-Head-Start,Akron,Colorado,80720,(970) 345-2695,Single-Site,53,
001PB00000GIgkLYAT,Quechan Headstart,Active Premium Customer,Onboarding,Premium,$71.08,No,Name,moraga.k12.ca.us,Winterhaven,California,92283,201-463-7100,Single-Site,42,
