SF Link,Account Name,Status,Combined Activation Status,Brightwheel Plan,Monthly Spend,EC Customer,K12 Signal,Website,City,State,Zip,Phone,Customer Type,Active Students,Billing Active (L30D)
001PB00000KX16fYAD,Barnwell County School District,Active Premium Customer,Onboarding,Premium,"$39,539.66",Yes,Name (District),bcsd.net,,Georgia,,(803) 450-1235,,,
0013u00001pKK9CAAW,Lafayette Family YMCA,Active Premium Customer,SaaS Only Activated,Premium,$249.00,No,Website,https://wes.tsc.k12.in.us/,Lafayette,Indiana,47905,(765) 474-3448,Single-Site,652,
001Rd000001NdGEIA0,North Penn School District,Active Premium Customer,Billing Only Activated,Premium,$650.00,No,Name (District),npenn.org,Lansdale,Pennsylvania,19446,(215)853-1038,Government Payer,,
0013u00001Ub2BIAAZ,Casa Grande Elementary School District Preschool,Active Premium Customer,SaaS and Billing Activated,Inactive,$449.17,No,"Website, Name (District)",http://www.cgelem.k12.az.us/eclc.cfm?subpage=1264425,CASA GRANDE,Arizona,85122,(520) 280-9668,Single-Site,269,No
0013u00001DKXUvAAP,Lower Kuskokwim School District,Active Premium Customer,SaaS and Billing Activated,Premium,$113.25,No,Name (District),lksd.org,Kipnuk,Alaska,99614,9075434869,Single-Site,593,Yes
001PB00000SiFJSYA3,Etiwanda School District - Child Care Office,Active Premium Customer,SaaS and Billing Activated,Premium,$106.25,No,Name (District),,,,,,Multi-Site Child,503,
001Rd000008yPOrIAM,Sycamore School District- Oscar Southeast,Active Premium Customer,SaaS Only Activated,Premium,$55.56,No,Name (District),syc427.org,,Illinois,,(815) 899-8123,Multi-Site Parent,485,
0011I00001412POQAY,Pitman Board of Education,Active Premium Customer,SaaS and Billing Activated,Premium,$300.00,No,"Website, Contact Email",pitman.k12.nj.us,,New Jersey,8071,8565890369,Non-Target,437,Yes
0013u00001VPjN5AAL,Superior School District,Active Premium Customer,SaaS and Billing Activated,Premium,$686.42,No,"Website, Contact Email, Name (District)",superior.k12.wi.us,Superior,Wisconsin,54880-5369,(715) 394-8714,Multi-Site Parent,418,Yes
0013u00001GlPXzAAN,Arcata School District,Active Premium Customer,SaaS and Billing Activated,Premium,$232.50,No,Name (District),arcatasd.org,,California,,7078261915,Single-Site,416,Yes
0013u00001gNiqIAAS,Helen G. Nassif YMCA Cedar Rapids- HGN Preschool,Customer (Non-Premium),SaaS Only Activated,Premium,,No,Website,linnmar.k12.ia.usschoolecho-hill,Cedar Rapids,Iowa,52302,(319) 366-6421,Single-Site,369,
001Rd000001cNglIAE,Bedford Park District,Active Premium Customer,SaaS Only Activated,Premium,$37.50,No,Name (District),,,ILLINOIS,,708-458-2265,Non-Target,364,
0011I00000QNZL9QAP,Palmyra Public School,Active Premium Customer,SaaS and Billing Activated,Premium,$225.00,No,"Website, Contact Email",palmyra.k12.nj.us,Palmyra,New Jersey,8065,(856) 829-8068,Single-Site,318,Yes
0013u00001eYIIAAA4,St Teresa Of Calcutta School,Customer (Non-Premium),SaaS and Billing Activated,Premium,,No,"Website, Contact Email",https://sites.google.com/a/stjoseph-nh.pvt.k12.ia.us/panthers/announcements,Calmar,Iowa,52132,(641) 330-7451,Multi-Site Parent,293,Yes
0013u00001s8ixuAAA,North Adams Community Schools,Active Premium Customer,SaaS and Billing Activated,Premium,$0.10,No,"Website, Contact Email",nadams.k12.in.us,Decatur,Indiana,46733,(812) 716-0931,Single-Site,291,Yes
0013u00001NOFAPAA5,Greene County Tech Preschool,Active Premium Customer,SaaS Only Activated,Premium,$322.13,No,Website,gctsd.k12.ar.us,PARAGOULD,Arkansas,72450,(870) 236-6439,Single-Site,290,
001PB00000YAQAYYA5,Chickasha Public Schools Early Learning Center,Active Premium Customer,Onboarding,Premium,$214.29,Yes,"Website, Contact Email",chickasha.k12.ok.us,,Oklahoma,,(405) 779-8004,Single-Site,,
001PB00000XVv73YAD,Wilmar Unified School District,Active Premium Customer,SaaS Only Activated,Premium,$89.08,No,Name (District),http://www.wilsonschoolpetaluma.org,Petaluma,California,94952,17077654340,Single-Site,275,
0013u00001VPOpRAAX,Lake Park Audubon Schools,Active Premium Customer,SaaS and Billing Activated,Premium,$68.85,No,"Website, Contact Email",lpa.k12.mn.us,Audubon,Minnesota,56511,(218) 325-0754,Single-Site,270,Yes
0013u00001dUKNfAAO,Plumas Lake Elementary School District,Active Premium Customer,SaaS and Billing Activated,Premium,$322.50,No,Name (District),plusd.org,,California,,(209) 518-1015,Single-Site,250,Yes
0011I00000yBhBfQAK,Global Tech After School at Genesis Innovation Academy,Active Premium Customer,SaaS and Billing Activated,Premium,$83.33,No,Contact Email,http://www.globaltechacademy.com/toomer,Atlanta,GA,30317,404)919-9948,Multi-Site Child,247,No
0013u00001LNtR3AAL,CAP CARE,Active Premium Customer,SaaS Only Activated,Premium,$120.00,No,Website,cambridge.k12.wi.us,Cambridge,Wisconsin,53523,608-423-8044,Single-Site,239,
0013u00001IDZc6AAH,Paragould Primary School Preschool,Active Premium Customer,SaaS Only Activated,Premium,$338.00,No,Website,https://paragould.k12.ar.us/,PARAGOULD,Arkansas,72450,(870) 240-2201,Single-Site,226,
001PB00000L4ck9YAB,Burlington Area School District,Active Premium Customer,SaaS and Billing Activated,Premium,$169.00,Yes,"Contact Email, Name (District)",http://www.plymouthchildren.com/,Burlington,Wisconsin,53105,262-763-0210,Single-Site,145,Yes
0011I0000119CeWQAU,Durham Recreation & Park District,Active Premium Customer,SaaS Only Activated,Premium,$200.00,No,Name (District),durhamrec.com,Chico,California,95926,5303451921,Single-Site,206,
001Rd00000HH1ItIAL,The Mini Marauder Preschool,Active Premium Customer,SaaS Only Activated,Premium,$39.50,No,"Website, Contact Email",http://www.mvcsc.k12.in.us/preschool/Content2/472,Fortville,Indiana,46040-9708,3174853100,Multi-Site Parent,191,Yes
0011I00000ZksDHQAZ,Hawley BASE/FITS,Active Premium Customer,SaaS and Billing Activated,Premium,$225.00,No,Website,hawley.k12.mn.us,Hawley,Minnesota,56549,(701) 388-2413,Single-Site,189,Yes
001Rd000006OYmhIAG,Fairfield-Suisun Unified School District,Active Premium Customer,Onboarding,Premium,$159.60,No,Name (District),,,California,,(707) 399-5054,Government Payer,173,
001Rd00000HIccxIAD,Dunham,Active Premium Customer,SaaS and Billing Activated,Premium,$150.00,No,Contact Email,http://www.dunhamsd.org,Petaluma,California,94952,707-795-5050,Single-Site,186,Yes
001Rd00000AVeORIA1,MRH School District,Active Premium Customer,SaaS and Billing Activated,Premium,$71.10,No,Name (District),mrhschools.net,ST LOUIS,Missouri,63117,(314) 901-2640,Single-Site,186,Yes
0013u00001pLUF7AAO,Panther Kids Club,Active Premium Customer,SaaS and Billing Activated,Premium,$225.00,No,"Website, Contact Email",https://www.ellsworth.k12.wi.us/,Ellsworth,Wisconsin,54011-9117,(715) 273-3912,Single-Site,183,Yes
0013u00001fGpXzAAK,Sacred Heart Preschool and Childcare,Customer (Non-Premium),SaaS and Billing Activated,Premium,,No,Website,http://www.sacred-heart-maq.pvt.k12.ia.us/,Maquoketa,Iowa,52060-2745,(563)652-3743,Single-Site,177,Yes
001PB00000MF7KkYAL,Weber School District,Active Premium Customer,SaaS Only Activated,Premium,$79.00,No,Name (District),http://burchcreek.wsd.net/,Ogden,Utah,84403,801-476-3618,Single-Site,176,
001PB00000LaGLVYA3,Liberty Lake Children's Academy River District,Active Premium Customer,SaaS and Billing Activated,Premium,$79.00,No,Name (District),http://libertylakechildrensacademy.com/,Liberty Lake,Washington,99016,(509) 922-6360,Multi-Site Parent,162,Yes
0013u00001GAi7yAAD,Little Roadrunner Childcare Center,Customer (Non-Premium),SaaS and Billing Activated,Premium,,No,Contact Email,roadrunnerpride.org,Truro,Iowa,50257,(641) 765-5220,Single-Site,156,Yes
0013u00001c1RR9AAM,Kewaunee School District,Active Premium Customer,SaaS and Billing Activated,Premium,$165.00,No,"Website, Contact Email, Name (District)",kewaunee.k12.wi.us,Kewaunee,Wisconsin,54216,9203883230,Single-Site,155,Yes
001PB00000PjPyNYAV,Iowa City Community School District - Licensee Account,Active Premium Customer,SaaS and Billing Activated,Premium,$299.00,No,Name (District),,,,,(319) 688-1000,Single-Site,148,Yes
001PB00000LadgKYAR,Brookings School District,Active Premium Customer,Onboarding,Premium,$143.00,No,Name (District),,,,,,Multi-Site Child,22,
001PB00000V6B75YAF,Art and Science Academy,Active Premium Customer,SaaS and Billing Activated,Premium,$71.10,No,"Website, Contact Email",artandscienceacademy.k12.mn.us,,Minnesota,,763.444.0342,Single-Site,148,Yes
