U.S. Public School Districts,,,,,,,,,,,
"Source: NCES CCD 2024-25 | Regular public school districts | Open status only | 13,493 districts",,,,,,,,,,,
LEA ID,District Name,State,State Abbrev,District Type,Street,City,Address State,ZIP,Website,Pre-K Offered,Operational Schools
0100002,Alabama Youth Services,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,1000 Industrial School Road,Mt Meigs,AL,36057,http://www.dys.alabama.gov/school-district.html,No,0
0100190,Alabaster City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,10111 Highway 119,Alabaster,AL,35007,http://acsboe.org,Yes,5
0100005,Albertville City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,8379 US Highway 431,Albertville,AL,35950,http://www.albertk12.org,Yes,7
0100030,Alexander City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,375 Lee Street,Alexander City,AL,35010,http://375 LEE ST,Yes,5
0100060,Andalusia City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,1201 C C Baker Avenue,Andalusia,AL,36421,http://andalusiacityschools.schoolinsites.com/,Yes,3
0100090,Anniston City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,4804 McClellan Boulevard,Anniston,AL,36206,http://www.annistonschools.com,Yes,6
0100100,Arab City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,750 Arabian Dr NE,Arab,AL,35016,http://www.arabcityschools.org,Yes,4
0100120,Athens City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,455 US Highway 31 North,Athens,AL,35611,http://www.acs-k12.org,Yes,9
0100180,Attalla City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,101 Case Avenue SE,Attalla,AL,35954,http://www.attalla.k12.al.us,Yes,3
0100210,Auburn City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,855 E Samford Ave,Auburn,AL,36830,http://www.auburnschools.org,Yes,14
0100240,Autauga County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,153 W 4th St,Prattville,AL,36067,http://acboe.net,Yes,16
0100270,Baldwin County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,2600 North Hand Ave,Bay Minette,AL,36507,http://www.bcbe.org,Yes,45
0100300,Barbour County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,168 Western Bypass,Clayton,AL,36016,http://www.barbourcountyschools.org,Yes,3
0100330,Bessemer City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,1621 5th Ave N,Bessemer,AL,35020,http://www.bessk12.org,Yes,9
0100360,Bibb County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,721 Walnut Street,Centreville,AL,35042,http://www.bibbed.org,Yes,9
0100390,Birmingham City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,2015 Park Place North,Birmingham,AL,35203,http://www.bhamcityschools.org,Yes,49
0100420,Blount County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,415 5th Avenue East,Oneonta,AL,35121,http://www.blountboe.net,Yes,17
0100012,Boaz City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,126 Newt Parker Dr,Boaz,AL,35957,http://www.boazk12.org,Yes,5
0100450,Brewton City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,811 Belleville Ave,Brewton,AL,36426,http://www.brewtoncityschools.org/,Yes,3
0100480,Bullock County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,108 Hardaway Avenue,Union Springs,AL,36089,http://108 Hardaway Avenue West,No,4
0100510,Butler County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,211 School Highlands Road,Greenville,AL,36037,http://www.butlerco.k12.al.us,Yes,7
0100540,Calhoun County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,4400 McClellan Blvd,Anniston,AL,36206,http://www.calhouncountyschools.com,Yes,19
0100600,Chambers County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,1298  AVC Drive,Lafayette,AL,36862,http://www.chambersk12.org,Yes,10
0100630,Cherokee County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,130 E Main St,Centre,AL,35960,http://www.cherokeek12.org,Yes,8
0100188,Chickasaw City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,201 N Craft HWY,Chickasaw,AL,36611,http://www.chickasawschools.com/,Yes,5
0100660,Chilton County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,1705 Lay Dam Rd,Clanton,AL,35045,http://www.chilton.k12.al.us,Yes,14
0100690,Choctaw County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,107 Tom Orr Dr,Butler,AL,36904,http://www.choctawal.org,Yes,4
0100720,Clarke County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,155 W Cobb St,Grove Hill,AL,36451,http://www.clarkecountyschools.org,Yes,7
0100750,Clay County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,62 Court Square,Ashland,AL,36251,http://www.claycoboe.org,Yes,5
0100780,Cleburne County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,141 Davenport Drive,Heflin,AL,36264,http://www.cleburneschools.net,Yes,9
0100810,Coffee County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,400 Reddoch Hill Rd,Elba,AL,36323,http://www.coffeecountyschools.org,Yes,5
0100840,Colbert County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,425 Highway 72 West,Tuscumbia,AL,35674,http://www.colbert.k12.al.us,Yes,8
0100870,Conecuh County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,1455 Ted Bates Road,Evergreen,AL,36401,http://www.conecuh.k12.al.us,Yes,9
0100900,Coosa County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,73 Nixburg Road,Rockford,AL,35136,http://coosaschools.k12.al.us,No,2
0100930,Covington County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,807 C C Baker Ave,Andalusia,AL,36421,http://www.cov.k12.al.us,Yes,8
0100960,Crenshaw County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,183 Votec Drive,Luverne,AL,36049,http://www.crenshawcounty.schoolinsites.com,Yes,4
0100990,Cullman City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,301 1st St N E,Cullman,AL,35055,http://www.cullmancats.net,Yes,7
0101020,Cullman County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,402 Arnold St NE,Cullman,AL,35055,http://www.ccboe.org,Yes,27
0101050,Dale County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,202 S Hwy 123 Suite E,Ozark,AL,36360,http://www.dalecountyboe.org,Yes,9
0101080,Daleville City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,626 N Daleville Ave,Daleville,AL,36322,http://www.daleville.k12.al.us,Yes,3
0101110,Dallas County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,429 Lauderdale St,Selma,AL,36701,http://www.dallask12.org,Yes,12
0101140,DeKalb County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,306 Main St W,Rainsville,AL,35986,http://www.dekalbk12.org,Yes,15
0101170,Decatur City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,212 4th Ave SE,Decatur,AL,35601,http://www.dcs.edu,Yes,21
0101200,Demopolis City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,609 South Cedar Avenue,Demopolis,AL,36732,http://www.dcsedu.com,Yes,4
0101230,Dothan City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,1665 Honeysuckle Road,DOTHAN,AL,36301,http://www.dothan.k12.al.us,Yes,18
0101260,Elba City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,131 Tiger Dr,Elba,AL,36323,,Yes,3
0101290,Elmore County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,100 H H Robison Drive,Wetumpka,AL,36092,http://www.elmoreco.com,Yes,17
0101320,Enterprise City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,220 Hutchinson St,Enterprise,AL,36330,http://www.enterpriseschools.net,Yes,10
0101350,Escambia County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,301 Belleville Ave,Brewton,AL,36426,http://escambiak12.net,Yes,13
0101380,Etowah County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,401 Broad Street,Gadsden,AL,35901,http://ecboe.org,Yes,24
0101410,Eufaula City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,333 State Docks Road,Eufaula,AL,36027,http://www.eufaulacityschools.org,Yes,6
0101440,Fairfield City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,6405 Ave D,Fairfield,AL,35064,http://www.fairfield.cyberschool.com,Yes,6
0101470,Fayette County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,103 First Ave NW,Fayette,AL,35555,http://www.fayette.k12.al.us,Yes,6
0101530,Florence City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,102 S Court Street,Florence,AL,35630,http://www.florencek12.org,Yes,9
0101560,Fort Payne City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,205 45th St NE,Fort Payne,AL,35967,http://www.fpcsk12.com,Yes,5
0101590,Franklin County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,500 Coffee Ave NE,Russellville,AL,35653,http://www.franklin.k12.al.us,Yes,10
0101620,Gadsden City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,1026 Chestnut St,Gadsden,AL,35901,http://www.gcs.k12.al.us,Yes,15
0101640,Geneva City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,511 Panther Drive,Geneva,AL,36340,http://www.genevacityschools.com,Yes,3
0101660,Geneva County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,606 S Academy St,Geneva,AL,36340,http://www.genevacountyschools.com,Yes,10
0101680,Greene County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,220 Main St,Eutaw,AL,35462,http://greenecoboe.greene.k12.al.us/,Yes,5
0100202,Gulf Shores City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,300 East 16th Ave,Gulf Shores,AL,36542,http://www.gsboe.org,Yes,3
0101690,Guntersville City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,4200 Highway 79 South,Guntersville,AL,35976,http://www.guntersvilleboe.com,Yes,4
0101710,Hale County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,1115 Powers St,Greensboro,AL,36744,http://www.halek12.org,Yes,7
0101720,Haleyville City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,2011 20th St,Haleyville,AL,35565,http://www.haley-k12.us,Yes,4
0101730,Hartselle City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,305 College St NE,Hartselle,AL,35640,http://www.hartselletigers.org,Yes,6
0101740,Henry County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,300 N Trawick Street,Abbeville,AL,36310,http://www.henrycountyboe.org,Yes,6
0101760,Homewood City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,450 Dale Avenue,Homewood,AL,35209,http://www.homewood.k12.al.us,Yes,5
0100007,Hoover City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,2810 Metropolitan Way,Hoover,AL,35243,http://www.hoovercityschools.net,Yes,18
0101770,Houston County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,404 West Washington St,Dothan,AL,36302,http://www.hcboe.us,Yes,16
0101800,Huntsville City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,714 Bob Wallace Avenue,Huntsville,AL,35801,http://www.huntsvillecityschools.org,Yes,46
0101830,Jackson County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,29727 Us Hwy 72 Suite A,Hollywood,AL,35752,http://www.jackson.k12.al.us,Yes,18
0101860,Jacksonville City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,320 Branscomb Drive SW,Jacksonville,AL,36265,http://www.jcsboe.org,Yes,2
0101890,Jasper City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,110 W 17th St,Jasper,AL,35501,http://www.jasper.k12.al.us,Yes,5
0101920,Jefferson County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,2100 18th Street S,Birmingham,AL,35209,http://www.jefcoed.com,Yes,57
0101950,Lamar County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,150 Butler Cir,Vernon,AL,35592,http://www.lamarcountyk12.com,Yes,5
0101980,Lanett City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,105 North Lanier Ave,Lanett,AL,36863,http://www.lanettcityschools.org,Yes,3
0102010,Lauderdale County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,355 County Road 61,Florence,AL,35634,http://www.lcschools.org,Yes,15
0102040,Lawrence County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,14131 Market St,Moulton,AL,35650,http://www.lawrenceal.org,Yes,14
0102070,Lee County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,2410 Society Hill Road,Opelika,AL,36804,http://www.lee.k12.al.us,Yes,15
0100011,Leeds City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,1517 Hurst Avenue,Leeds,AL,35094,http://www.leedsk12.org,Yes,4
0102100,Limestone County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,300 S Jefferson St,Athens,AL,35611,http://www.lcsk12.org,Yes,16
0102130,Linden City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,209 N Main St,Linden,AL,36748,http://lindencity.org,Yes,3
0102160,Lowndes County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,80 Commerce Street S,Hayneville,AL,36040,http://www.lowndesboe.org,Yes,9
0102190,Macon County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,303 Union Springs Road,Tuskegee,AL,36083,http://www.maconk12.org,Yes,6
0100008,Madison City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,211 Celtic Drive,Madison,AL,35758,http://www.madisoncity.k12.al.us,Yes,13
0102220,Madison County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,1275F Jordan Rd Bldg B,Huntsville,AL,35811,http://www.mcssk12.org,Yes,30
0102250,Marengo County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,101 North Shiloh,Linden,AL,36748,http://marengo.k12.al.us,Yes,3
